Date,Yahoo,Microsoft,Google,Facebook,Apple
2014-04-16,36.349998,40.400002,556.54249,519.01001,519.01001
2014-04-15,34.209999,39.75,536.442444,517.959999,517.959999
2014-04-14,33.450001,39.18,532.522392,521.679977,521.679977
2014-04-11,32.869999,39.209999,530.602392,519.610023,519.610023
2014-04-10,33.400002,39.360001,540.952433,523.480019,523.480019
2014-04-09,34.869999,40.470001,564.142557,530.320015,530.320015
2014-04-08,33.830002,39.82,554.902495,523.440018,523.440018
2014-04-07,33.07,39.799999,538.152456,523.469978,523.469978
2014-04-04,34.259998,39.869999,543.14246,531.820023,531.820023
2014-04-03,35.759998,41.009998,569.742571,538.790009,538.790009
2014-04-02,36.639999,41.349998,567.002574,542.549988,542.549988
2014-04-01,36.490002,41.419998,567.162558,541.649994,541.649994
2014-03-31,35.900002,40.990002,556.972503,536.739975,536.739975
2014-03-28,35.900002,40.299999,559.992565,536.859978,536.859978
