,Date,Yahoo,Microsoft,Google,Facebook,Apple
875,2012-07-10,15.82,29.74,581.700981,23.44,608.210022
874,2012-07-11,15.80,29.299999,571.190952,23.179999,604.430016
873,2012-07-12,15.69,28.629999,570.480963,23.059999,598.900009
872,2012-07-13,15.74,29.389999,576.520984,23.729999,604.970001
871,2012-07-16,15.65,29.440001,574.921012,23.329999,606.910019
870,2012-07-17,15.60,29.66,576.730997,23.450001,606.93998
869,2012-07-18,15.70,30.450001,580.761007,23.859999,606.260017
868,2012-07-19,15.73,30.67,593.060987,23.599999,614.320015
867,2012-07-20,15.92,30.120001,610.821064,23.35,604.300026
866,2012-07-23,15.76,29.280001,615.511071,22.809998,603.830002
865,2012-07-24,15.43,29.15,607.571068,22.499998,600.919975
864,2012-07-25,15.50,28.83,607.991033,22.729999,574.970009
863,2012-07-26,15.80,29.16,613.361071,23.589999,574.88002
862,2012-07-27,16.110001,29.76,634.961116,24.229999,585.159988
861,2012-07-30,15.98,29.639999,632.301092,24.29,595.030014
860,2012-07-31,15.84,29.469999,632.971076,24.620001,610.759987
859,2012-08-01,15.99,29.41,632.681113,24.499999,606.80999
858,2012-08-02,15.75,29.190001,628.751087,24.15,607.789986
857,2012-08-03,15.97,29.75,641.331105,24.83,615.70002
856,2012-08-06,16.040001,29.950001,642.821108,25.129999,622.550003
855,2012-08-07,16.219999,30.26,640.541105,25.519998,620.910019
854,2012-08-08,16.17,30.33,642.231074,29.529998,619.860008
853,2012-08-09,16.01,30.50,642.35109,30.51,620.729988
852,2012-08-10,15.15,30.42,642.001088,31.319998,621.699997
851,2012-08-13,15.02,30.389999,660.011122,31.409998,630.00
850,2012-08-14,14.73,30.129999,668.661175,31.339999,631.690025
849,2012-08-15,14.76,30.200001,667.541146,31.339999,630.829979
848,2012-08-16,14.99,30.780001,672.871179,32.069999,636.340012
847,2012-08-17,15.03,30.90,677.141159,32.679998,648.110001
846,2012-08-20,14.96,30.74,675.541188,32.979997,665.150017
845,2012-08-21,14.97,30.799999,669.511153,33.04,656.059982
844,2012-08-22,14.92,30.540001,677.181165,32.939998,668.869995
843,2012-08-23,14.87,30.26,676.801144,32.819998,662.630013
842,2012-08-24,14.92,30.559999,678.631162,32.99,663.219986
841,2012-08-27,14.85,30.690001,669.221129,32.979997,675.679977
840,2012-08-28,14.72,30.629999,677.25119,32.619997,674.800011
839,2012-08-29,14.84,30.65,688.011176,32.49,673.469994
838,2012-08-30,14.67,30.32,681.681192,32.199999,663.869987
